"","Forest","Mosaic Vegetation","Shrubland","Other Vegetation","Cropland","Non-Vegetation"
"Forest",283838,2816,4212,24,599,3
"Mosaic Vegetation",200,40181,59,0,0,14
"Shrubland",783,335,104849,0,532,0
"Other Vegetation",2,6,0,1088,0,7
"Cropland",65,12,27,0,23877,60
"Non-Vegetation",66,1,2,1,5,9658
