"","Forest","Mosaic Vegetation","Shrubland","Other Vegetation","Cropland","Non-Vegetation"
"Forest",357443,1840,2049,1,1069,49
"Mosaic Vegetation",58,58808,304,0,13,11
"Shrubland",5,0,17359,2,0,0
"Other Vegetation",191,3,51,9727,2,2
"Cropland",0,1,0,0,23371,0
"Non-Vegetation",0,0,0,0,0,963
