"","Annual.Gross.Loss.structure.c.1001.6..77.2..1.4..49.8..0.2..0....Names...c..Forest...","Annual.Gross.Loss.structure.c.9489.14285714286..4..144..2.85714285714286..2.85714285714286..","Annual.Gross.Loss.structure.c.695.818181818182..24.8181818181818..150..1.36363636363636..","Annual.Gross.Gain.structure.c.50.8..368.8..480.8..0.6..216.8..12.4....Names...c..Forest...","Annual.Gross.Gain.structure.c.31.2857142857143..2289.57142857143..6693.57142857143..","Annual.Gross.Gain.structure.c.101.454545454545..288.181818181818..390.909090909091..","Annual.Loss.Intensity.structure.c.0.00276340801929088..0.00130418623509139..8.06172981688357e.05..","Annual.Loss.Intensity.structure.c.0.0265284384748624..0.000163565732978941..0.00237420035613005..","Annual.Loss.Intensity.structure.c.0.00238709186467616..0.000613491417861814..0.00140846392923877..","Annual.Gain.Intensity.structure.c.0.000142019642322972..0.00608059091208864..0.0243282902393361..","Annual.Gain.Intensity.structure.c.0.000107329581208796..0.0565969107769671..0.0628510260995073..","Annual.Gain.Intensity.structure.c.0.000356038327079267..0.00664763945887795..0.00358142622386912..","Uniform.Category.Intensity","Loss.Behavior.structure.c..Active....Dormant....Dormant....Active....Dormant...","Loss.Behavior.structure.c..Active....Dormant....Dormant....Dormant....Dormant...","Loss.Behavior.structure.c..Active....Dormant....Dormant....Dormant....Dormant....1","Gain.Behavior.structure.c..Dormant....Active....Active....Dormant....Active...","Gain.Behavior.structure.c..Dormant....Active....Active....Active....Dormant...","Gain.Behavior.structure.c..Dormant....Active....Active....Active....Active..."
"Forest",1001.6,9489.14285714286,695.818181818182,50.8,31.2857142857143,101.454545454545,0.00276340801929088,0.0265284384748624,0.00238709186467616,0.000142019642322972,0.000107329581208796,0.000356038327079267,0.00238780365163673,"Active","Active","Active","Dormant","Dormant","Dormant"
"Mosaic Vegetation",77.2,4,24.8181818181818,368.8,2289.57142857143,288.181818181818,0.00130418623509139,0.000163565732978941,0.000613491417861814,0.00608059091208864,0.0565969107769671,0.00664763945887795,0.0203727211979522,"Dormant","Dormant","Dormant","Active","Active","Active"
"Shrubland",1.4,144,150,480.8,6693.57142857143,390.909090909091,8.06172981688357e-05,0.00237420035613005,0.00140846392923877,0.0243282902393361,0.0628510260995073,0.00358142622386912,0.00188820142044374,"Dormant","Dormant","Dormant","Active","Active","Active"
"Other Vegetation",49.8,2.85714285714286,1.36363636363636,0.6,614,2.27272727272727,0.00499198075380914,0.000144570300923081,0.00123629770048628,6.16649537512847e-05,0.0255397030073624,0.00204198317405865,0.00238780365163673,"Active","Dormant","Dormant","Dormant","Active","Active"
"Cropland",0.2,2.85714285714286,14.9090909090909,216.8,3.28571428571429,103.272727272727,8.55724798904672e-06,0.000293642636910879,0.000620152693693728,0.0088652627274586,0.000337584946646901,0.0041287621345991,0.0203727211979522,"Dormant","Dormant","Dormant","Active","Dormant","Active"
"Non-Vegetation",0,0,6.81818181818182,12.4,11.1428571428571,7.63636363636364,0,0,0.000700522122488628,0.0120975609756098,0.010102318352545,0.000783859950355536,0.00188820142044374,"Dormant","Dormant","Dormant","Active","Dormant","Dormant"
