"","Forest","Mosaic Vegetation","Shrubland","Other Vegetation","Cropland","Non-Vegetation"
"Forest",291273,15817,46846,3670,16,75
"Mosaic Vegetation",18,24427,9,0,1,0
"Shrubland",181,207,59644,619,0,1
"Other Vegetation",12,2,0,19743,6,0
"Cropland",8,1,0,9,9710,2
"Non-Vegetation",0,0,0,0,0,1025
